Bleu-1,Image,PredCap,Score
0.653799352,412101267_7257e6d8c0,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Average
0.60329975,3102363657_dc95fe6850,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के लिए पोज़ देते हैं। endseq,Average
0.558030357,3672106148_56cfb5fc8d,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Average
0.53536205,215876547_fa584c5ec3,startseq आदमी पानी में कूद रहा है। endseq,Average
0.51663572,1581822598_0ae23074f1,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Very Good
0.506369684,2545192257_142fe9e2de,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq,Very Good
0.499577588,2503629305_055e9ec4b1,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Very Good
0.499347503,566921157_07c18a41e2,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Good
0.462305955,3195701071_81879257f5,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Good
0.462305955,2738077433_10e6264b6f,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Average
0.456435465,433855742_c2a6fda763,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq,Average
0.456435465,3511062827_cd87871c67,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Good
0.456435465,1932161768_996eadac87,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Good
0.456435465,1620397000_3883e3ecd3,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Very Good
0.456435465,1288909046_d2b2b62607,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq,Good
0.446835779,3354883962_170d19bfe4,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Very Good
0.446835779,3004823335_9b82cbd8a7,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq,Very Good
0.40824829,2701042060_92508ea8fa,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq,Average
0.40824829,2565237642_bdd46d7cef,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Average
0.404519917,17273391_55cfc7d3d4,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq,Bad
0.400368701,661757041_61e131e913,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Good
0.399846223,336460583_6c8ccb7188,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Very Good
0.372677996,2084103826_ffd76b1e3e,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq,Very Good
0.370015178,406642021_9ec852eccf,startseq साइकिल चालक बाइक पर बाइक सवार। endseq,Bad
0.365484949,406901451_7eafd7568a,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Good
0.365484949,1095590286_c654f7e5a9,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq,Average
0.347098955,3576741633_671340544c,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq,Good
0.341565026,315125146_d9a8e60061,startseq भूरे रंग का कुत्ता और भूरे रंग का कुत्ता पानी के माध्यम से चल रहा है। endseq,Bad
0.33968311,3304556387_203b9d4db0,startseq भूरे रंग का कुत्ता और भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq,Average
0.337483628,365759754_6cf7068c9a,startseq काला कुत्ता बर्फ में चल रहा है। endseq,Very Good
0.333486924,3335097235_538f4777c3,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq,Very Good
0.333333333,3280173193_98c2d6a223,startseq आदमी और सफेद कुत्ता पानी में कूद रहा है। endseq,Average
0.333333333,2913972180_547783dd3d,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq,Average
0.333333333,1801188148_a176954965,startseq भूरे और सफेद कुत्ते घास में चल रहे हैं। endseq,Very Good
0.331256692,2797511323_bf20acab45,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq,Average
0.327050302,3251906388_c09d44340e,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Bad
0.327050302,3242354561_54e5a34925,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Average
0.320590194,3155390408_8e1a81efb2,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq,Average
0.320171826,1818403842_553a2a392c,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq,Bad
0.317093057,990890291_afc72be141,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq,Bad
0.316227766,2831217847_555b2f95ca,startseq आदमी बर्फ में खड़ा है। endseq,Bad
0.316227766,2192026581_b782d1355a,startseq लड़का स्केटबोर्ड पर चढ़ रहा है। endseq,Bad
0.314485451,2635938723_11b85e6763,startseq लड़का और लड़की और लड़की और लड़की और लड़की के साथ खेल रहे हैं। endseq,Bad
0.313211086,2660008870_b672a4c76a,startseq लड़का पानी में कूद रहा है। endseq,Very Good
0.310086836,3188319076_71724fcc07,startseq भूरे रंग का कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq,Good
0.305111757,1303335399_b3facd47ab,startseq लड़का पानी के माध्यम से कूद रहा है। endseq,Good
0.301612473,269898095_d00ac7d7a4,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq,Average
0.301511345,2978271431_f6a7f19825,startseq आदमी और भूरे रंग का कुत्ता पानी में कूद रहा है। endseq,Bad
