Bleu-1,Image,PredCap,Score
0.500328715,3690883532_d883f34617, एक आदमी एक चट्टान पर चढ़ रहा है। ,Good
0.456435465,2939197393_93dc64c4bb, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Average
0.433012702,3542771548_fcb8fa0cba, एक काला कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Bad
0.40824829,365128300_6966058139, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.396059017,452363869_cad37e609f, एक काला और सफेद कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Good
0.396059017,2832076014_ff08c92037, एक आदमी एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.381881308,300222673_573fd4044b, एक लड़का एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर खड़ा है। ,Bad
0.372677996,2183227136_8bb657846b, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.366899693,461019788_bc0993dabd, एक आदमी एक समुद्र तट पर एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.365148372,527288854_f26127b770, एक लड़का एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर खड़ा है। ,Bad
0.365148372,1777816180_08d7e8063b, एक आदमी एक चट्टान पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.361550763,3412036192_d8cd12ed3f, एक काला और सफेद कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Good
0.361550763,3307077951_dd31f1971c, एक काला और सफेद कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Average
0.360514709,278388986_78ba84eb8f, एक आदमी एक चट्टान पर चढ़ रहा है। ,Good
0.353553391,1368383637_614646cc4a, एक लड़का एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर खड़ा है। ,Bad
0.33968311,3672057606_cb6393dbd9, एक आदमी एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर खड़ा है। ,Bad
0.338199771,3273625566_2454f1556b, एक काला और सफेद कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Average
0.337099931,3294202771_e8ee78a439, एक कुत्ता एक समुद्र तट पर एक गंदगी की सवारी करता है। ,Bad
0.333552477,3478176372_7c510a0cef, एक आदमी एक गेंद को लात करता है। ,Average
0.333486924,3328397409_092de2bd32, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Good
0.333333333,3658733605_fbcf570843, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Average
0.333333333,3544233095_4bca71df1d, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.333333333,3189002057_3ef61b803e, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.333333333,186890601_8a6b0f1769, एक आदमी एक स्केटबोर्ड पर एक चाल करता है। ,Bad
0.333333333,3461114418_c27b4043a2, एक साइकिल चालक एक स्केटबोर्ड पर एक चाल करता है। ,Average
0.316227766,757332692_6866ae545c, एक लड़का एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर एक स्केटबोर्ड पर खड़ा है। ,Bad
0.306927354,2353119813_685bace18e, एक काला और सफेद कुत्ता एक गेंद के साथ एक गेंद को पकड़ने के लिए खेल रहा है। ,Very Good
0.302437772,3453019315_cfd5c10dae, एक साइकिल चालक एक स्केटबोर्ड पर एक चाल करता है। ,Average
0.301612473,2127209046_94711c747b, एक आदमी एक चट्टान पर एक चट्टान पर खड़ा है। ,Good
