Bleu-1,Image,PredCap
0.71176658,412101267_7257e6d8c0,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.695986135,3672106148_56cfb5fc8d,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.666666667,2565237642_bdd46d7cef,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.647058824,3102363657_dc95fe6850,startseq आदमी और महिला और महिला और महिला और महिला के साथ कैमरे के लिए पोज़ देते हैं। endseq
0.622795758,566921157_07c18a41e2,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.615384615,2545192257_142fe9e2de,startseq काला और सफेद कुत्ता अपने मुंह में छड़ी के साथ खेल रहा है। endseq
0.6,3270273940_61ef506f05,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.596559545,1581822598_0ae23074f1,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.56432115,215876547_fa584c5ec3,startseq आदमी पानी में कूद रहा है। endseq
0.55730213,3354883962_170d19bfe4,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.55730213,3004823335_9b82cbd8a7,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.55730213,2503629305_055e9ec4b1,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.555555556,433855742_c2a6fda763,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.555555556,3511062827_cd87871c67,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.555555556,2084103826_ffd76b1e3e,startseq काला और सफेद कुत्ता घास में कूद रहा है। endseq
0.555555556,1932161768_996eadac87,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.555555556,1620397000_3883e3ecd3,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.555555556,1288909046_d2b2b62607,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.545454545,17273391_55cfc7d3d4,startseq आदमी समुद्र तट पर पानी के माध्यम से चल रहा है। endseq
0.533824935,661757041_61e131e913,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.533824935,3195701071_81879257f5,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.533824935,3151492269_28d8edaa68,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.533824935,2738077433_10e6264b6f,startseq भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.5,3304556387_203b9d4db0,startseq भूरे रंग का कुत्ता और भूरे रंग का कुत्ता बर्फ में चल रहा है। endseq
0.5,2192026581_b782d1355a,startseq लड़का स्केटबोर्ड पर चढ़ रहा है। endseq
0.5,2172526745_649f420569,startseq लड़का पानी के माध्यम से कूद रहा है। endseq
0.498695858,336460583_6c8ccb7188,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.497132954,3335097235_538f4777c3,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.4953588,155221027_b23a4331b7,startseq आदमी और लड़का बर्फ में खड़ा है। endseq
0.491238452,990890291_afc72be141,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.491238452,3335370208_460fc19bfa,startseq आदमी बर्फ में चढ़ता है। endseq
0.491238452,3254640083_eb34b8edfe,startseq लड़का स्केटबोर्ड पर चढ़ता है। endseq
0.47768754,406642021_9ec852eccf,startseq साइकिल चालक बाइक पर बाइक सवार। endseq
0.47768754,2321865325_79b0954a5d,startseq काला और सफेद कुत्ता घास में चल रहा है। endseq
0.454545455,2978271431_f6a7f19825,startseq आदमी और भूरे रंग का कुत्ता पानी में कूद रहा है। endseq
0.452418709,269898095_d00ac7d7a4,startseq आदमी और लड़का पानी के माध्यम से चल रहा है। endseq
0.444854113,406901451_7eafd7568a,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.444854113,2504764590_cf017c2a6e,startseq काला और सफेद कुत्ता पानी में कूद रहा है। endseq
0.444854113,2196846255_2c1635359a,startseq भूरे रंग का कुत्ता घास में चल रहा है। endseq
0.444854113,1095590286_c654f7e5a9,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.444444444,350176185_b8c5591e36,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
0.444444444,3487261028_30791528ec,startseq भूरे रंग का कुत्ता पानी में चल रहा है। endseq
