Bleu-1,Image,PredCap,Score
0.726972096,3636543173_15f56515e5,startseq एक आदमी एक तस्वीर के लिए प्रस्तुत कर रहा है। endseq,Average
0.707106781,95734036_bef6d1a871,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Average
0.67919255,3626475209_f71cdd06bd,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.658037006,3036033157_522a43a550,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.658037006,2281075738_230892b241,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.643458884,3151365121_e2a685a666,startseq एक कुत्ता एक समुद्र तट पर चलता है। endseq,Very Good
0.598805964,2353102255_67d9d2e40a,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.594603558,3171347658_f0d5469c56,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Bad
0.594603558,2271264741_aa8f73f87c,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Bad
0.56386531,314904143_5a216a192b,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Very Good
0.503533789,2867026654_38be983b44,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Good
0.467137978,610590753_cd69ce081a,startseq एक कुत्ता पानी के माध्यम से चल रहा है। endseq,Very Good
0.467137978,2599444370_9e40103027,startseq एक कुत्ता पानी के माध्यम से चल रहा है। endseq,Good
0.451801002,482353373_03a9d5e8bc,startseq एक आदमी एक तस्वीर के लिए प्रस्तुत कर रहा है। endseq,Bad
0.451801002,2680619645_ab6645218d,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.441791823,3276895962_c053263d01,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.441248451,1432179046_8e3d75cf81,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Bad
0.427287006,3758787457_1a903ee1e9,startseq एक कुत्ता एक समुद्र तट पर एक हैंडस्टैंड करता है। endseq,Bad
0.427287006,2267682214_e1434d853b,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.424012535,3259229498_2b5708c0c6,startseq एक आदमी एक इमारत के सामने एक इमारत के सामने खड़ा है। endseq,Average
0.423419758,3239480519_22540b5016,startseq एक कुत्ता एक छड़ी के साथ पानी में चलता है। endseq,Average
0.417226145,3324056835_84904fe2f8,startseq एक कुत्ता एक समुद्र तट पर एक चट्टान पर बैठा है। endseq,Average
0.412247818,210839948_bbd5bfa3b6,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Good
0.404553356,3264678536_46601d25f0,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.403298912,2369248869_0266760c4a,startseq एक कुत्ता पानी के माध्यम से चल रहा है। endseq,Very Good
0.398328716,871290666_4877e128c0,startseq एक आदमी एक बड़े बड़े पेड़ के खिलाफ एक बेंच पर बैठता है। endseq,Average
0.382602942,805682444_90ed9e1ef3,startseq एक कुत्ता एक समुद्र तट पर चलता है। endseq,Average
0.382602942,488549693_a1f51d8c4a,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Bad
0.382602942,3295680663_af21ea648b,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Bad
0.381633091,3025513877_1a6160070d,startseq एक कुत्ता एक समुद्र तट पर एक चट्टान पर बैठा है। endseq,Bad
0.381633091,2759211664_d21393b668,startseq एक छोटा लड़का एक समुद्र तट पर एक हैंडस्टैंड करता है। endseq,Good
0.381633091,1714316707_8bbaa2a2ba,startseq एक छोटा लड़का एक समुद्र तट पर एक हैंडस्टैंड करता है। endseq,Bad
0.379917843,2206594874_5e0087c6b7,startseq एक आदमी एक तस्वीर के लिए प्रस्तुत कर रहा है। endseq,Bad
0.375966353,3023178539_836b50cd43,startseq एक आदमी एक फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। endseq,Average
0.368893973,3549408779_4d453db080,startseq एक कुत्ता पानी के माध्यम से चल रहा है। endseq,Very Good
0.368893973,228949397_9e63bfa775,startseq एक छोटा लड़का एक पूल में कूद रहा है। endseq,Good
0.365555223,396360611_941e5849a3,startseq एक आदमी एक चट्टान पर चढ़ रहा है। endseq,Good
0.365555223,3122888809_9ae9b4b9b2,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.360887723,3522000960_47415c3890,startseq एक कुत्ता पानी के माध्यम से चल रहा है। endseq,Bad
0.35966115,2419221084_01a14176b4,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
0.354948106,3354883962_170d19bfe4,startseq एक कुत्ता एक गेंद को पकड़ने के लिए कूदता है। endseq,Average
